Student ID,Email,First Name,Last Name,Year,Department,Status,Phone,DOB,GPA
1,john.doe@university.edu,John,Doe,3,Computer Science,active,555-0101,2003-05-15,3.85
2,jane.smith@university.edu,Jane,Smith,2,CS,Active,5550102,08/22/2004,3.92
3,alice.johnson@university.edu,Alice,Johnson,4,Computer Science,ACTIVE,(555) 011-0103,11-30-2002,3.78
4,,Bob,Williams,1,CompSci,active,555-0104,2005-02-14,
5,charlie.brown@university.edu,Charlie,Brown,3,Mathematics,active,555-0201,2003-07-10,3.65
5,charlie.brown@university.edu,Charlie,Brown,3,Math,active,555-0201,07/10/2003,3.65
6,diana.prince@university.edu,Diana,Prince,2,Mathematics,Active,555-0202,2004-03-25,4
7,eve.davis@university.edu,Eve,Davis,4,MATH,graduated,555-0203,09/18/2002,3.88
8,frank.miller@university.edu,Frank,Miller,2,Physics,active,,12/05/2004,3.12
9,grace.lee@university.edu,Grace,,3,Physics,Active,555-0302,2003-01-20,3.45
10,henry.garcia@university.edu,Henry,Garcia,1,Business Administration,active,555-0401,2005-06-08,2.98
11,iris.martinez@university.edu,Iris,Martinez,2,Business,ACTIVE,555-0402,04/17/2004,3.55
12,jack.anderson@university.edu,Jack,Anderson,5,Electrical Engineering,active,555-0501,2002-10-12,3.72
13,kate.thomas@university.edu,Kate,Thomas,3,EE,inactive,555-0502,08/28/2003,3.29
14,legacy.student@university.edu,Legacy,Student,4,Computer Science,GRADUATED,555-0999,2001-01-01,3.91
15,INVALID.EMAIL,Test,User,2,CS,active,555-1234,2004-05-05,3.5
